% Model,BarMagnetPair.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 24 2021, 18:33"
% Dimension,3
% Nodes,7005
% Expressions,1
% Description,"Magnetic flux density, y component"
% Length unit,m
% X,Y,Z,mfnc.By (G)
-0.04333818589500327,-0.075,-1.2836953722228372E-16,-4.7157651086318875E-4
-0.07500000000000001,-0.04333818589500329,-1.5959455978986628E-16,-3.331921940167735E-4
-0.07237047724343808,-0.04860474640675128,2.0328790734103208E-19,0.0011333227341527381
-0.07500000000000001,-0.03429195329357565,-3.2612801348363973E-16,0.00521791635577215
-0.075,-0.038815069594289466,-4.3368086899420177E-19,0.0029581047685902457
-0.07283724055488563,-0.037200569000088016,0,-0.006580560420672536
-0.04567798827546815,-0.07065210553259395,-5.421010862427522E-20,-0.0027654673999857205
-0.04033712909321077,-0.07236831976304066,2.1684043449710089E-19,0.0012684088550955475
-0.041246836427533705,-0.07089675523012923,-2.1684043449710089E-19,-0.0010765530287495141
-0.038815069594289445,-0.075,4.3368086899420177E-19,-0.0037732116386493715
-0.07223399975378893,-0.039561475491910095,-1.0842021724855044E-19,0.003522078099994115
-0.0716622371115845,-0.03878078795514217,0,2.3378587122897522E-4
-0.07166538513848004,-0.03980526074784546,-2.710505431213761E-19,1.401613560578668E-4
-0.0716622371115845,-0.0358319566887915,1.0842021724855044E-19,0.0021467323703437224
-0.07500000000000001,-0.02976883699286181,2.1684043449710089E-19,0.006787483153333761
-0.07341706559978022,-0.03147568545421706,0,-0.00493040582025616
-0.07186721158800255,-0.03413106943553401,-2.1684043449710089E-19,0.0020203820979948915
-0.07336777296310788,-0.029728113351800485,-4.3368086899420177E-19,-0.006508547568870959
-0.0342919532935756,-0.075,-2.445960101127298E-16,0.0022524452572997384
-0.0370918476777662,-0.07343081841271448,0,0.007581410189605192
-0.03659569954743093,-0.07096807269406195,1.0842021724855044E-19,-0.002232296659880995
-0.03183640775369419,-0.07005722908890052,1.0842021724855044E-19,-0.0011146850306831193
-0.02960193690790995,-0.07337951297166073,2.1684043449710089E-19,-0.0036610210925923257
-0.02976883699286176,-0.07499999999999998,0,0.004427135656029708
-0.07499999999999998,-0.025245720692147953,-6.106226635438361E-16,0.002619941735838289
-0.07172320536285313,-0.028792669260519384,2.1684043449710089E-19,0.005337051773917163
-0.025245720692147915,-0.075,-4.579669976578771E-16,-0.0036617629049149314
-0.028806781702553505,-0.07198164872334153,2.1684043449710089E-19,0.0013175514853553637
-0.024062595726745014,-0.07173169420907043,0,-6.377419350426811E-4
-0.02072260439143406,-0.075,0,-0.001172275673699703
