% Model,CdMOT_permanent_magnets_Sid.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 8 2023, 12:18"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, z component"
% Length unit,m
% R,Z,mfnc.Bz (G)
5.0E-4,-0.09700000000000002,-4.323437747356622
0.0015,-0.09700000000000002,-4.318182278129761
0.0025000000000000005,-0.09700000000000002,-4.3125909409813445
0.0035000000000000005,-0.09700000000000002,-4.301402340440911
0.0045,-0.09700000000000002,-4.285972912858341
0.0055000000000000005,-0.09700000000000002,-4.266546528109448
0.006500000000000001,-0.09700000000000002,-4.245085799856924
0.0075,-0.09700000000000002,-4.219294005046714
0.0085,-0.09700000000000002,-4.19046333028494
0.009500000000000001,-0.09700000000000002,-4.157979093697242
0.0105,-0.09700000000000002,-4.1223025386765215
0.011500000000000002,-0.09700000000000002,-4.083407325589946
0.0125,-0.09700000000000002,-4.041397538324214
0.013500000000000002,-0.09700000000000002,-3.996500434076016
0.014499999999999999,-0.09700000000000002,-3.948613651802669
