% Model,CdMOT_permanent_magnets_Sid.mph
% Version,COMSOL 5.4.0.388
% Date,"May 18 2021, 11:35"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, r component"
% Length unit,m
% R,Z,mfnc.Br (G)
0.0015,-0.0485,0.35098704674173714
0.0025000000000000005,-0.0485,0.3509870467417886
0.0035000000000000005,-0.0485,0.4831878849516189
0.0045,-0.0485,0.7786606711276002
0.0055000000000000005,-0.0485,0.8662724372161117
0.006500000000000001,-0.0485,0.8662724372161117
0.0075,-0.0485,1.1480017922272545
0.0085,-0.0485,1.4331239987104853
0.009500000000000001,-0.0485,1.4331239987101652
0.0105,-0.0485,1.5048825171848517
0.011500000000000002,-0.0485,1.7961695942229436
0.0125,-0.0485,1.9596772366344883
0.013500000000000002,-0.0485,1.9596772366345456
0.014499999999999999,-0.0485,2.10174273633632
0.0155,-0.0485,2.328567899025898
0.0165,-0.0485,2.369391692337341
0.017499999999999998,-0.0485,2.3693916923374037
0.0185,-0.0485,2.502208459040611
0.019500000000000003,-0.0485,2.5926897941178004
0.0205,-0.0485,2.592689794117692
0.021500000000000002,-0.0485,2.6218002925122366
0.022500000000000003,-0.0485,2.6218214713072814
0.0235,-0.0485,2.5945010504665746
0.0245,-0.0485,2.5945010504668176
0.025500000000000002,-0.0485,2.565441606157639
0.026500000000000003,-0.0485,2.455010835253695
0.027500000000000004,-0.0485,2.3945851343920195
0.028499999999999998,-0.0485,2.3945851343920594
0.0295,-0.0485,2.2620929447712164
0.0305,-0.0485,2.075781067365301
0.0315,-0.0485,2.053740359097638
0.0325,-0.0485,2.0381998784529083
0.0335,-0.0485,1.816882996223002
0.034499999999999996,-0.0485,1.6468349127070665
0.0355,-0.0485,1.6468349127070625
0.0365,-0.0485,1.5582001971350805
0.037500000000000006,-0.0485,1.3371854962595677
0.038500000000000006,-0.0485,1.239431636652819
0.03950000000000001,-0.0485,1.2394316366528169
0.04050000000000001,-0.0485,1.097588723635114
0.0415,-0.0485,0.9004204976563797
0.0425,-0.0485,0.8751841798783873
0.043500000000000004,-0.0485,0.8751841798783845
0.044500000000000005,-0.0485,0.7077861204256743
0.045500000000000006,-0.0485,0.5748473671438031
0.04650000000000001,-0.0485,0.5748473671438026
0.0475,-0.0485,0.5318778045438753
0.0485,-0.0485,0.4066238699853541
0.0495,-0.0485,0.34211470057624693
0.0505,-0.0485,0.34211470057622445
0.051500000000000004,-0.0485,0.2821139423708286
0.052500000000000005,-0.0485,0.1901754298789461
0.053500000000000006,-0.0485,0.1707166201654153
0.05450000000000001,-0.0485,0.17071662016541356
0.05550000000000001,-0.0485,0.10866808308064518
0.056499999999999995,-0.0485,0.050065443791160805
0.057499999999999996,-0.0485,0.050065443791136165
0.058499999999999996,-0.0485,0.03828126567468845
0.0595,-0.0485,-0.0049930123120933865
0.0605,-0.0485,-0.031167898992592338
0.0615,-0.0485,-0.031167898992584122
0.0625,-0.0485,-0.04734102895870088
0.0635,-0.0485,-0.07493028309604137
0.0645,-0.0485,-0.08320333590308393
0.0655,-0.0485,-0.08320333590308358
0.0665,-0.0485,-0.09813598075700308
0.0675,-0.0485,-0.11458476646892625
0.0685,-0.0485,-0.11444020795454352
0.06949999999999999,-0.0485,-0.1166264514273156
0.0705,-0.0485,-0.12545316582943533
0.0715,-0.0485,-0.1313818432908092
0.0725,-0.0485,-0.13138184329081848
0.0735,-0.0485,-0.13385592563776413
0.0745,-0.0485,-0.1376661086486383
