% Model,Single_magnet_ZeemanSlower.mph
% Version,COMSOL 5.4.0.388
% Date,"Jun 3 2021, 14:07"
% Dimension,2
% Nodes,10000
% Expressions,1
% Description,"Magnetic flux density, r component"
% Length unit,m
% R,Z,mfnc2.Br (G)
0.09250000000000003,-0.07920000000000002,-0.07190548250489504
0.09350000000000003,-0.07920000000000002,-0.07071945661152008
0.09450000000000001,-0.07920000000000002,-0.06812085137323397
0.09550000000000002,-0.07920000000000002,-0.06812085137323459
0.09650000000000002,-0.07920000000000002,-0.06725055406574985
0.09750000000000002,-0.07920000000000002,-0.06537987719061905
0.09850000000000002,-0.07920000000000002,-0.06537987719061947
0.09950000000000002,-0.07920000000000002,-0.06437556106152756
5.000000000000001E-4,-0.0776,-0.034919245784335196
0.0015000000000000002,-0.0776,-0.08823928857417473
0.0025000000000000005,-0.0776,-0.13504382128729409
0.003500000000000001,-0.0776,-0.19426902531527623
0.0045000000000000005,-0.0776,-0.250769542464649
0.005500000000000001,-0.0776,-0.3042337578795013
0.0065000000000000014,-0.0776,-0.36048117442597516
